Line_descr;Rtype;Direction;Sched;S_order;Vehicle_no;Arrival_datetime;Stop_id;Stop_descr;Stop_metric;T_pas_in;T_pas_out;T_pa_in_veh
224 - ΚΑΙΣΑΡΙΑΝΗ - ΕΛ. ΒΕΝΙΖΕΛΟΥ;02;2;1900-01-01 06:45:00;1;10557;2022-03-09 06:40:03;02;ΤΕΡΜΑ ΕΛ. ΒΕΝΙΖΕΛΟΥ;0;1;0;1
224 - ΚΑΙΣΑΡΙΑΝΗ - ΕΛ. ΒΕΝΙΖΕΛΟΥ;02;2;1900-01-01 06:45:00;2;10557;;060634;ΕΛ. ΒΕΝΙΖΕΛΟΥ;167;;;1
224 - ΚΑΙΣΑΡΙΑΝΗ - ΕΛ. ΒΕΝΙΖΕΛΟΥ;02;2;1900-01-01 06:45:00;3;10557;2022-03-09 06:46:43;060635;5η ΕΛ. ΒΕΝΙΖΕΛΟΥ;388;;;1
224 - ΚΑΙΣΑΡΙΑΝΗ - ΕΛ. ΒΕΝΙΖΕΛΟΥ;02;2;1900-01-01 06:45:00;4;10557;2022-03-09 06:48:00;060636;4η ΕΛ. ΒΕΝΙΖΕΛΟΥ;811;1;0;2
224 - ΚΑΙΣΑΡΙΑΝΗ - ΕΛ. ΒΕΝΙΖΕΛΟΥ;02;2;1900-01-01 06:45:00;5;10557;2022-03-09 06:48:30;060637;3η ΕΛ. ΒΕΝΙΖΕΛΟΥ;1161;;;2
224 - ΚΑΙΣΑΡΙΑΝΗ - ΕΛ. ΒΕΝΙΖΕΛΟΥ;02;2;1900-01-01 06:45:00;6;10557;2022-03-09 06:48:52;060638;2η ΕΛ. ΒΕΝΙΖΕΛΟΥ;1371;;;2
224 - ΚΑΙΣΑΡΙΑΝΗ - ΕΛ. ΒΕΝΙΖΕΛΟΥ;02;2;1900-01-01 06:45:00;7;10557;2022-03-09 06:49:10;060639;1η ΕΛ. ΒΕΝΙΖΕΛΟΥ;1584;1;0;3
224 - ΚΑΙΣΑΡΙΑΝΗ - ΕΛ. ΒΕΝΙΖΕΛΟΥ;02;2;1900-01-01 06:45:00;8;10557;2022-03-09 06:50:07;060640;ΠΑΛΑΙΟ ΤΕΡΜΑ;1797;;;3
224 - ΚΑΙΣΑΡΙΑΝΗ - ΕΛ. ΒΕΝΙΖΕΛΟΥ;02;2;1900-01-01 06:45:00;9;10557;2022-03-09 06:50:46;060641;ΚΡΥΣΤΑΛ;1985;4;0;7
224 - ΚΑΙΣΑΡΙΑΝΗ - ΕΛ. ΒΕΝΙΖΕΛΟΥ;02;2;1900-01-01 06:45:00;10;10557;2022-03-09 06:52:16;060642;ΔΙΚΑΣΤΗΡΙΑ;2363;4;0;11
224 - ΚΑΙΣΑΡΙΑΝΗ - ΕΛ. ΒΕΝΙΖΕΛΟΥ;02;2;1900-01-01 06:45:00;11;10557;2022-03-09 06:52:33;060502;2η ΔΙΚΑΣΤΗΡΙΩΝ;2558;;;11
224 - ΚΑΙΣΑΡΙΑΝΗ - ΕΛ. ΒΕΝΙΖΕΛΟΥ;02;2;1900-01-01 06:45:00;12;10557;2022-03-09 06:53:55;060643;Γ.Υ.Σ.;2878;;;11
224 - ΚΑΙΣΑΡΙΑΝΗ - ΕΛ. ΒΕΝΙΖΕΛΟΥ;02;2;1900-01-01 06:45:00;13;10557;2022-03-09 06:54:15;060644;ΑΓΓΕΛΟΠΟΥΛΟΥ;3118;1;0;12
224 - ΚΑΙΣΑΡΙΑΝΗ - ΕΛ. ΒΕΝΙΖΕΛΟΥ;02;2;1900-01-01 06:45:00;14;10557;2022-03-09 06:55:59;060565;ΟΤΕ ΠΕΔΙΟΥ ΑΡΕΩΣ;3611;8;7;13
224 - ΚΑΙΣΑΡΙΑΝΗ - ΕΛ. ΒΕΝΙΖΕΛΟΥ;02;2;1900-01-01 06:45:00;15;10557;2022-03-09 06:57:16;061011;ΠΟΛΥΤΕΧΝΕΙΟ;4168;2;1;14
224 - ΚΑΙΣΑΡΙΑΝΗ - ΕΛ. ΒΕΝΙΖΕΛΟΥ;02;2;1900-01-01 06:45:00;16;10557;2022-03-09 06:59:29;060985;ΠΛ. ΚΑΝΙΓΓΟΣ;4576;2;0;16
224 - ΚΑΙΣΑΡΙΑΝΗ - ΕΛ. ΒΕΝΙΖΕΛΟΥ;02;2;1900-01-01 06:45:00;17;10557;2022-03-09 06:59:56;060008;ΖΩΟΔ.ΠΗΓΗ;4826;;;16
224 - ΚΑΙΣΑΡΙΑΝΗ - ΕΛ. ΒΕΝΙΖΕΛΟΥ;02;2;1900-01-01 06:45:00;18;10557;2022-03-09 07:00:39;060075;ΑΚΑΔΗΜΙΑΣ;5137;0;6;10
224 - ΚΑΙΣΑΡΙΑΝΗ - ΕΛ. ΒΕΝΙΖΕΛΟΥ;02;2;1900-01-01 06:45:00;19;10557;2022-03-09 07:02:29;060587;ΣΥΝΤΑΓΜΑ;6008;0;3;7
