name,latitude,longitude
ΠΑΡΘΕΝΩΝΑΣ,37.971526,23.726716
ΜΝΗΜΕΙΟ ΛΥΣΙΚΡΑΤΟΥΣ,37.971071,23.729935
ΟΔΟΣ ΠΑΝΔΡΟΣΟΥ,37.975604,23.727591
ΛΟΦΟΣ ΛΥΚΑΒΗΤΤΟΥ,37.981751,23.743013
ΒΥΖΑΝΤΙΝΟ ΚΑΙ ΧΡΙΣΤΙΑΝΙΚΟ ΜΟΥΣΕΙΟ ΑΘΗΝΩΝ,37.975355,23.744616
ΠΥΛΗ ΑΔΡΙΑΝΟΥ,37.970189,23.732028
ΕΘΝΙΚΟ ΙΣΤΟΡΙΚΟ ΜΟΥΣΕΙΟ ΑΘΗΝΩΝ,37.977712,23.732869
ΕΡΕΧΘΕΙΟ,37.972138,23.726336
ΜΟΥΣΕΙΟ ΜΠΕΝΑΚΗ,37.975949,23.740458
ΖΑΠΠΕΙΟ,37.969726,23.735563
ΜΑΡΙΝΑ ΖΕΑΣ,37.937321,23.646041
ΙΣΤΟΡΙΚΟ ΜΟΥΣΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟΥ ΑΘΗΝΩΝ,37.973184,23.726847
ΠΟΛΕΜΙΚΟ ΜΟΥΣΕΙΟ,37.975329,23.745456
ΕΘΝΙΚΟ ΑΡΧΑΙΟΛΟΓΙΚΟ ΜΟΥΣΕΙΟ ΑΘΗΝΩΝ,37.989014,23.732759
ΠΛΑΤΕΙΑ ΚΟΛΩΝΑΚΙΟΥ,37.977138,23.740647
ΜΟΥΣΕΙΟ ΚΟΣΜΗΜΑΤΟΣ ΗΛΙΑ ΛΑΛΑΟΥΝΗ,37.969198,23.726652
ΑΡΧΑΙΑ ΑΓΟΡΑ ΑΘΗΝΩΝ,37.975831,23.723152
ΜΟΥΣΕΙΟ ΑΚΡΟΠΟΛΗΣ,37.968451,23.728521
ΠΡΟΠΥΛΑΙΑ,37.971703,23.725173
ΜΟΥΣΕΙΟ ΙΣΛΑΜΙΚΗΣ ΤΕΧΝΗΣ ΜΠΕΝΑΚΗ,37.979154,23.720295
ΠΛΑΤΕΙΑ ΟΜΟΝΟΙΑΣ,37.984042,23.728027
ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΚΕΡΑΜΕΙΚΟΥ,37.978025,23.717273
ΠΛΑΤΕΙΑ ΜΟΝΑΣΤΗΡΑΚΙΟΥ,37.976355,23.725858
ΒΙΒΛΙΟΘΗΚΗ ΤΟΥ ΑΔΡΙΑΝΟΥ,37.9755,23.72603
ΕΒΡΑΪΚΟ ΜΟΥΣΕΙΟ ΤΗΣ ΕΛΛΑΔΑΣ,37.972887,23.733117
ΝΑΟΣ ΑΓΙΑΣ ΤΡΙΑΔΟΣ,37.973275,23.733985
ΠΛΑΤΕΙΑ ΣΥΝΤΑΓΜΑΤΟΣ,37.975543,23.735356
ΜΟΝΗ ΔΑΦΝΙΟΥ,38.013004,23.635885
ΑΘΗΝΑΪΚΗ ΥΠΑΙΘΡΙΑ ΑΓΟΡΑ,37.976214,23.725491
ΠΝΥΚΑ,37.967367,23.721161
ΜΟΥΣΕΙΟ ΚΑΝΕΛΛΟΠΟΥΛΟΥ,37.97291,23.726022
ΑΝΑΦΙΩΤΙΚΑ,37.972135,23.728044
ΠΥΡΓΟΣ ΤΩΝ ΑΝΕΜΩΝ,37.974183,23.726996
ΣΤΟΑ ΤΟΥ ΕΥΜΕΝΟΥΣ,37.9705339,23.726068
ΜΟΥΣΕΙΟ ΤΗΣ ΠΟΛΗΣ ΤΩΝ ΑΘΗΝΩΝ,37.978865,23.73127
ΜΙΚΡΗ ΜΗΤΡΟΠΟΛΗ ΑΘΗΝΩΝ,37.975047,23.729961
ΑΚΑΔΗΜΙΑ ΑΘΗΝΩΝ,37.980173,23.734192
ΙΕΡΑ ΠΥΛΗ ΑΘΗΝΩΝ,37.978258,23.719314
ΝΑΟΣ ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ ΠΛΑΚΑΣ,37.970845,23.729444
ΠΑΝΑΘΗΝΑΪΚΟ ΣΤΑΔΙΟ,37.968317,23.741101
ΝΑΟΣ ΤΗΣ ΑΘΗΝΑΣ ΝΙΚΗΣ,37.971518,23.724872
ΛΟΦΟΣ ΤΟΥ ΑΡΕΙΟΥ ΠΑΓΟΥ,37.97234,23.723368
ΩΔΕΙΟ ΗΡΩΔΟΥ ΑΤΤΙΚΟΥ,37.970793,23.724582
ΘΕΑΤΡΟ ΤΟΥ ΔΙΟΝΥΣΟΥ,37.970366,23.727854
ΝΑΟΣ ΤΟΥ ΗΦΑΙΣΤΟΥ,37.975594,23.721451
ΑΣΚΛΗΠΙΕΙΟ,37.970818,23.726827
ΜΟΥΣΕΙΟ ΕΛΛΗΝΙΚΩΝ ΛΑΪΚΩΝ ΜΟΥΣΙΚΩΝ ΟΡΓΑΝΩΝ,37.974512,23.727512
ΚΕΝΤΡΙΚΗ ΑΓΟΡΑ ΑΘΗΝΩΝ,37.980435,23.727663
ΝΑΟΣ ΤΟΥ ΟΛΥΜΠΙΟΥ ΔΙΟΣ,37.969294,23.733104
ΝΟΜΙΣΜΑΤΙΚΟ ΜΟΥΣΕΙΟ ΑΘΗΝΩΝ,37.97777,23.735373
ΜΟΥΣΕΙΟ ΚΥΚΛΑΔΙΚΗΣ ΤΕΧΝΗΣ,37.975565,23.742866
ΜΟΝΗ ΚΑΙΣΑΡΙΑΝΗΣ,37.960928,23.797951
ΡΩΜΑΪΚΗ ΑΓΟΡΑ ΤΗΣ ΑΘΗΝΑΣ,37.974235,23.726074
ΜΝΗΜΕΙΟ ΤΟΥ ΘΡΑΣΥΛΛΟΥ,37.97108,23.727737
ΛΟΦΟΣ ΦΙΛΟΠΑΠΠΟΥ,37.968766,23.719878
ΠΛΑΚΑ,37.972237,23.730143
ΝΑΟΣ ΤΩΝ ΤΑΞΙΑΡΧΩΝ,37.974706,23.725992
ΑΚΡΟΠΟΛΗ,37.97154,23.725743
ΚΑΠΝΙΚΑΡΕΑ,37.976381,23.728614
ΕΘΝΙΚΗ ΒΙΒΛΙΟΘΗΚΗ ΑΘΗΝΩΝ,37.981074,23.733099
ΜΟΥΣΕΙΟ ΝΕΟΤΕΡΟΥ ΕΛΛΗΝΙΚΟΥ ΠΟΛΙΤΙΣΜΟΥ,37.975354,23.725502
ΕΘΝΙΚΗ ΠΙΝΑΚΟΘΗΚΗ,37.975598,23.749426
ΙΑΠΩΝΙΚΟΣ ΚΗΠΟΣ,37.974766,23.749364
ΑΣΤΕΡΟΣΚΟΠΕΙΟ,37.972775,23.717948
ΜΗΤΡΟΠΟΛΙΤΙΚΟΣ ΚΑΘΕΔΡΙΚΟΣ ΝΑΟΣ ΑΘΗΝΩΝ,37.975253,23.730112
ΠΕΔΙΟΝ ΤΟΥ ΑΡΕΩΣ,37.992492,23.736159
ΕΘΝΙΚΟ ΜΟΥΣΕΙΟ ΣΥΓΧΡΟΝΗΣ ΤΕΧΝΗΣ,37.962945,23.725415
ΜΟΥΣΕΙΟ ΗΡΑΚΛΕΙΔΩΝ,37.975153,23.718603
ΜΟΥΣΕΙΟ ΑΡΧΑΙΑΣ ΕΛΛΗΝΙΚΗΣ ΤΕΧΝΟΛΟΓΙΑΣ,37.977676,23.738196
ΨΗΦΙΑΚΟ ΜΟΥΣΕΙΟ ΑΚΑΔΗΜΙΑΣ ΠΛΑΤΩΝΟΣ,37.994538,23.707233
ΜΟΥΣΕΙΟ ΓΟΥΛΑΝΔΡΗ ΦΥΣΙΚΗΣ ΙΣΤΟΡΙΑΣ,38.074474,23.814778
ΣΠΑΘΑΡΕΙΟ ΜΟΥΣΕΙΟ,38.053201,23.812069
ΜΟΥΣΕΙΟ ΟΡΥΚΤΟΛΟΓΙΑΣ ΚΑΙ ΠΕΤΡΟΛΟΓΙΑΣ,37.966637,23.784323
ΖΩΟΛΟΓΙΚΟ ΜΟΥΣΕΙΟ,37.966294,23.785851
ΕΛΛΗΝΙΚΟ ΜΟΥΣΕΙΟ ΑΥΤΟΚΙΝΗΤΟΥ,37.991401,23.730012
ΠΟΛΙΤΙΣΤΙΚΟ ΚΕΝΤΡΟ ΑΘΗΝΑΪΣ,37.983317,23.710843
ΜΟΥΣΕΙΟ ΔΡΟΣΙΝΗ,38.071264,23.811747
ΙΔΡΥΜΑ ΝΤΕΣΤΕ,38.039921,23.759939
ΙΔΡΥΜΑ ΕΥΓΕΝΙΔΟΥ,37.940305,23.696214
ΜΟΥΣΕΙΟ ΦΡΥΣΙΡΑ,37.972241,23.73223
ΜΟΥΣΕΙΟ ΣΥΓΧΡΟΝΗΣ ΤΕΧΝΗΣ ΓΟΥΛΑΝΔΡΗ,37.969686,23.742782
ΜΟΥΣΕΙΟ ΓΟΥΝΑΡΟΠΟΥΛΟΥ,37.975046,23.761519
ΜΟΥΣΕΙΟ ΕΛΛΗΝΙΚΗΣ ΠΟΛΕΜΙΚΗΣ ΑΕΡΟΠΟΡΙΑΣ,38.104823,23.777814
ΕΛΛΗΝΙΚΟ ΠΑΙΔΙΚΟ ΜΟΥΣΕΙΟ,37.973581,23.744777
ΜΟΥΣΕΙΟ ΜΑΡΙΚΑΣ ΚΟΤΟΠΟΥΛΗ,37.979549,23.769639
ΠΟΛΙΤΙΣΤΙΚΟ ΚΕΝΤΡΟ ΜΕΛΙΝΑ ΜΕΡΚΟΥΡΗ,37.976135,23.71471
ΔΗΜΟΤΙΚΗ ΠΙΝΑΚΟΘΗΚΗ ΑΘΗΝΩΝ,37.982837,23.719434
ΜΟΥΣΕΙΟ ΑΝΘΡΩΠΟΛΟΓΙΑΣ,37.983978,23.766632
ΜΟΥΣΕΙΟ ΕΛΛΗΝΙΚΗΣ ΛΑΪΚΗΣ ΤΕΧΝΗΣ,37.973304,23.725819
ΕΘΝΙΚΗ ΓΛΥΠΤΟΘΗΚΗ,37.987016,23.776944
ΠΙΝΑΚΟΘΗΚΗ ΝΙΚΟΣ ΧΑΤΖΗΚΥΡΙΑΚΟΣ ΓΚΙΚΑΣ,37.977193,23.736391
ΜΟΥΣΕΙΟ ΠΑΞΙΝΟΥ-ΜΗΝΙΩΤΗ,37.984649,23.725743
ΤΑΧΥΔΡΟΜΙΚΟ ΚΑΙ ΦΙΛΟΤΕΛΙΚΟ ΜΟΥΣΕΙΟ ΤΗΣ ΕΛΛΑΔΑΣ,37.970012,23.741141
ΚΕΝΤΡΟ ΜΕΛΕΤΗΣ ΝΕΟΤΕΡΗΣ ΚΕΡΑΜΕΙΚΗΣ,37.978469,23.720283
ΣΙΔΗΡΟΔΡΟΜΙΚΟ ΜΟΥΣΕΙΟ ΤΗΣ ΑΘΗΝΑΣ,38.00962,23.720696
ΤΕΧΝΟΠΟΛΗ,37.978226,23.713645
ΜΟΥΣΕΙΟ ΑΦΗΣ ΑΘΗΝΑΣ,37.94545,23.700009
ΜΟΥΣΕΙΟ ΒΟΡΡΕ,37.953118,23.847626
ΜΟΥΣΕΙΟ ΓΙΑΝΝΗ ΤΣΑΡΟΥΧΗ,38.063286,23.801508
