municipality_name,municipality_latitude,municipality_longitude
ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,37.99294,23.65755
ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ,38.01187,23.82559
ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,37.93161,23.73037
ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ - ΚΑΜΑΤΕΡΟΥ,38.04694,23.73027
ΑΘΗΝΑΙΩΝ,37.98921,23.73388
ΑΙΓΑΛΕΩ,37.98976,23.67904
ΑΛΙΜΟΥ,37.91229,23.72589
ΑΜΑΡΟΥΣΙΟΥ,38.04611,23.80752
ΑΣΠΡΟΠΥΡΓΟΥ,38.09857,23.59042
ΑΧΑΡΝΩΝ,38.10047,23.75320
ΒΑΡΗΣ - ΒΟΥΛΑΣ - ΒΟΥΛΙΑΓΜΕΝΗΣ,37.83593,23.79064
ΒΡΙΛΗΣΣΙΩΝ,38.03398,23.82946
ΒΥΡΩΝΟΣ,37.95819,23.75519
ΓΑΛΑΤΣΙΟΥ,38.01956,23.75447
ΓΛΥΦΑΔΑΣ,37.87642,23.75940
ΔΑΦΝΗΣ - ΥΜΗΤΤΟΥ,37.95167,23.74176
ΔΙΟΝΥΣΟΥ,38.12439,23.86402
ΕΛΕΥΣΙΝΑΣ,38.04772,23.54177
ΕΛΛΗΝΙΚΟΥ - ΑΡΓΥΡΟΥΠΟΛΗΣ,37.90163,23.75075
ΖΩΓΡΑΦΟΥ,37.97431,23.77397
ΗΛΙΟΥΠΟΛΕΩΣ,37.93190,23.75845
ΗΡΑΚΛΕΙΟΥ,38.05179,23.77280
ΙΛΙΟΥ,38.03531,23.70473
ΚΑΙΣΑΡΙΑΝΗΣ,37.96761,23.76071
ΚΑΛΛΙΘΕΑΣ,37.95275,23.70039
ΚΕΡΑΤΣΙΝΙΟΥ - ΔΡΑΠΕΤΣΩΝΑΣ,37.95759,23.62151
ΚΗΦΙΣΙΑΣ,38.08498,23.80548
ΚΟΡΥΔΑΛΛΟΥ,37.98232,23.64840
ΚΡΩΠΙΑΣ,37.91506,23.88310
ΛΥΚΟΒΡΥΣΗΣ - ΠΕΥΚΗΣ,38.06716,23.78322
ΜΑΝΔΡΑΣ - ΕΙΔΥΛΛΙΑΣ,38.15373,23.37241
ΜΑΡΑΘΩΝΟΣ,38.11053,23.96892
ΜΑΡΚΟΠΟΥΛΟΥ ΜΕΣΟΓΑΙΑΣ,37.89078,23.99601
ΜΕΤΑΜΟΡΦΩΣΕΩΣ,38.06517,23.76298
ΜΟΣΧΑΤΟΥ - ΤΑΥΡΟΥ,37.95963,23.68980
ΝΕΑΣ ΙΩΝΙΑΣ,38.03749,23.76151
ΝΕΑΣ ΣΜΥΡΝΗΣ,37.94378,23.71532
ΝΙΚΑΙΑΣ - ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ,37.96951,23.64357
ΠΑΙΑΝΙΑΣ,37.96045,23.84968
ΠΑΛΑΙΟΥ ΦΑΛΗΡΟΥ,37.93015,23.70025
ΠΑΛΛΗΝΗΣ,38.00290,23.88403
ΠΑΠΑΓΟΥ - ΧΟΛΑΡΓΟΥ,37.99751,23.80029
ΠΕΙΡΑΙΩΣ,37.94355,23.65042
ΠΕΝΤΕΛΗΣ,38.04629,23.87223
ΠΕΡΑΜΑΤΟΣ,37.96589,23.56832
ΠΕΡΙΣΤΕΡΙΟΥ,38.01140,23.68657
ΠΕΤΡΟΥΠΟΛΕΩΣ,38.04231,23.68202
ΡΑΦΗΝΑΣ - ΠΙΚΕΡΜΙΟΥ,38.02289,24.00531
ΣΑΡΩΝΙΚΟΥ,37.73685,23.92490
ΣΠΑΤΩΝ - ΑΡΤΕΜΙΔΟΣ,37.97166,23.99639
ΦΙΛΑΔΕΛΦΕΙΑΣ - ΧΑΛΚΗΔΟΝΟΣ,38.03471,23.73787
ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,38.01036,23.77376
ΦΥΛΗΣ,38.10215,23.66636
ΧΑΛΑΝΔΡΙΟΥ,38.02150,23.80064
ΧΑΪΔΑΡΙΟΥ,38.01141,23.65534
ΩΡΩΠΟΥ,38.30344,23.75742
