event_datetime;veh_no;lon;lat;event;stop_id;route_aa;line_route;route_code
2022-03-10 00:00:00;50693;23,7132150;37,9542170;Άφιξη σε Στάση;240003;13;126 - ΠΑΛ. ΦΑΛΗΡΟ - ΣΤ. ΣΥΓΓΡΟΥ ΦΙΞ (ΚΥΚΛΙΚΗ) :: ΠΑΛ. ΦΑΛΗΡΟ - ΣΤ. ΣΥΓΓΡΟΥ ΦΙΞ;4139
2022-03-10 00:00:00;16099;23,6498880;38,0109190;Άφιξη σε Στάση;470008;13;Α15 - ΣΤ. ΛΑΡΙΣΗΣ - ΔΑΣΟΣ :: ΣΤ. ΛΑΡΙΣΗΣ - ΔΑΣΟΣ;2980
2022-03-10 00:00:00;50667;23,7055420;37,9527970;Άφιξη σε Στάση;240066;10;218 - ΠΕΙΡΑΙΑΣ - ΣΤ. ΔΑΦΝΗ :: ΣΤ. ΔΑΦΝΗ - ΠΕΙΡΑΙΑΣ;2034
2022-03-10 00:00:00;60485;23,7363040;38,0136000;Άφιξη σε Στάση;060480;7;608ΕΑ1 - ΓΑΛΑΤΣΙ - ΑΚΑΔΗΜΙΑ - ΝΕΚΡ. ΖΩΓΡΑΦΟΥ :: *** ΝΕΚΡ. ΖΩΓΡΑΦΟΥ - ΑΚΑΔΗΜΙΑ - ΓΑΛΑΤΣΙ;4231
2022-03-10 00:00:01;60887;23,7731480;37,9449030;Άφιξη σε Στάση;141107;12;203 - ΚΑΡΕΑΣ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ) :: ΚΑΡΕΑΣ - ΑΚΑΔΗΜΙΑ;3427
2022-03-10 00:00:01;46116;23,7465860;37,8631840;Άφιξη σε Στάση;160165;9;Α1 - ΠΕΙΡΑΙΑΣ - ΒΟΥΛΑ :: ΠΕΙΡΑΙΑΣ - ΒΟΥΛΑ;2045
2022-03-10 00:00:01;40195;23,7288200;37,9877030;Μηχανή σε λειτουργία;;0;;
2022-03-10 00:00:01;46209;23,7471620;37,9892420;Άφιξη σε Στάση;060617;5;Α7 - ΣΤΟΥΡΝΑΡΗ - ΚΗΦΙΣΙΑ (ΠΛΑΤΕΙΑ ΠΛΑΤΑΝΟΥ) :: ΚΗΦΙΣΙΑ - ΣΤΟΥΡΝΑΡΗ;2086
2022-03-10 00:00:01;07112;23,8085190;38,0192910;Άφιξη σε Στάση;480173;10;19 - ΜΟΥΣΕΙΟ - ΣΤ. ΧΑΛΑΝΔΡΙΟΥ (ΣΙΔΕΡΑ) :: ΣΤ. ΧΑΛΑΝΔΡΙΟΥ (ΣΙΔΕΡΑ) - ΜΟΥΣΕΙΟ ;2030
2022-03-10 00:00:02;88049;23,7289850;37,9826440;Μηχανή σε λειτουργία;;0;;
2022-03-10 00:00:02;56037;23,6962000;37,9219120;Άφιξη σε Στάση;380057;9;217 - ΠΕΙΡΑΙΑΣ - ΑΓ. ΔΗΜΗΤΡΙΟΣ - ΣΤ. ΔΑΦΝΗ :: ΣΤ. ΔΑΦΝΗ - ΑΓ. ΔΗΜΗΤΡΙΟΣ - ΠΕΙΡΑΙΑΣ;1980
2022-03-10 00:00:02;30703;23,6419360;37,9334320;Αναχώρηση από Αφετηρία;000191;7;909 - ΑΓ. ΒΑΣΙΛΕΙΟΣ - ΑΓ. ΣΟΦΙΑ - ΚΡΑΤ. ΝΙΚΑΙΑΣ :: ΑΓ. ΒΑΣΙΛΕΙΟΣ - ΑΓ. ΣΟΦΙΑ - ΚΡΑΤ. ΝΙΚΑΙΑΣ;3461
2022-03-10 00:00:03;89035;23,6851300;37,9427080;Άφιξη σε Αφετηρία;000129;2;10 - ΤΖΙΤΖΙΦΙΕΣ - ΧΑΛΑΝΔΡΙ :: ΧΑΛΑΝΔΡΙ - ΤΖΙΤΖΙΦΙΕΣ;1994
2022-03-10 00:00:03;50675;23,7408480;37,9419710;Μηχανή σε λειτουργία;;0;;
2022-03-10 00:00:03;10561;23,6653360;37,9987390;Άφιξη σε Στάση;010026;20;837 - ΑΓΙΑ ΒΑΡΒΑΡΑ - ΣΤ.ΑΓ.ΒΑΡΒΑΡΑ - ΣΤ.ΑΓ.ΜΑΡΙΝΑ (ΚΥΚΛΙΚΗ) :: ΑΓIA  ΒΑΡΒΑΡΑ - ΣΤ. ΑΓ.ΒΑΡΒΑΡΑ - ΣΤ.ΑΓ.ΜΑΡΙΝΑ;3582
2022-03-10 00:00:03;50665;23,7184180;37,9320430;Μηχανή σε λειτουργία;;0;;
2022-03-10 00:00:03;79081;23,7659050;38,0514870;Άφιξη σε Στάση;220060;6;Α8 - ΠΟΛΥΤΕΧΝΕΙΟ - Ν. ΙΩΝΙΑ - ΜΑΡΟΥΣΙ :: ΜΑΡΟΥΣΙ - Ν. ΙΩΝΙΑ - ΠΟΛΥΤΕΧΝEIO;1825
2022-03-10 00:00:04;06035;23,6684020;37,9569210;Άφιξη σε Στάση;400252;22;16 - ΑΓ. ΙΩΑΝΝΗΣ ΡΕΝΤΗΣ - ΠΕΙΡΑΙΑΣ (ΚΥΚΛΙΚΗ) :: ΑΓ. ΙΩΑΝΝΗΣ ΡΕΝΤΗΣ - ΠΕΙΡΑΙΑΣ;2079
2022-03-10 00:00:05;70197;23,6929060;38,0930860;Άφιξη σε Αμαξοστάσιο;Α2;0;;
