Line_descr;Line_encoding;Category
021-ΠΛΑΤΕΙΑΚΑΝΙΓΓΟΣ-ΓΚΥΖH(ΚΥΚΛΙΚΗ);0;0
022-ΑΚΑΔΗΜΙΑ-Ν.ΚΥΨΕΛΗ(ΚΥΚΛΙΚΗ);1;0
025-ΙΠΠΟΚΡΑΤΟΥΣ-ΠΡΟΦΗΤΗΔΑΝΙΗΛ;139;0
026-ΙΠΠΟΚΡΑΤΟΥΣ-ΒΟΤΑΝΙΚΟΣ;140;0
032-ΓΟΥΔΗ-ΜΑΡΑΣΛΕΙΟΣ(ΣΧΟΛΙΚΗ);142;5
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ;2;1
036-ΣΤ.ΚΑΤΕΧΑΚΗ-ΣΤ.ΠΑΝΟΡΜΟΥ-ΓΑΛΑΤΣΙ-ΚΥΨΕΛΗ(ΚΥΚΛΙΚΗ);171;4
040-ΠΕΙΡΑΙΑΣ-ΣΥΝΤΑΓΜΑ;4;0
046-ΜΟΥΣΕΙΟ-ΕΛΛΗΝΟΡΩΣΩΝ;5;0
049-ΠΕΙΡΑΙΑΣ-ΟΜΟΝΟΙΑ;143;0
051-ΣΤ.ΥΠΕΡ.ΛΕΩΦ.ΚΗΦΙΣΟΥ-ΟΜΟΝΟΙΑ(ΜΕΣΩΑΚΑΔ.ΠΛΑΤ.)(ΚΥΚΛΙΚΗ);6;0
054-ΠΕΡΙΣΣΟΣ-ΛΑΜΠΡΙΝΗ-ΟΜΟΝΟΙΑ(ΚΥΚΛΙΚΗ);217;1
057-ΛΟΦΟΣΣΚΟΥΖΕ-ΟΜΟΝΟΙΑ(ΚΥΚΛΙΚΗ);144;0
060-ΑΚΑΔΗΜΙΑ-ΛΥΚΑΒΗΤΤΟΣ(ΚΥΚΛΙΚΗ);8;0
1-ΠΛ.ΑΤΤΙΚΗΣ-ΚΑΛΛΙΘΕΑ-ΜΟΣΧΑΤΟ;9;0
10-ΤΖΙΤΖΙΦΙΕΣ-ΧΑΛΑΝΔΡΙ;10;1
101-ΑΛΙΜΟΣ-ΕΛΛΗΝΙΚΟ;11;2
