stop_id,stop_encoding,stop_descr,stop_desr_matrix,stop_street,dimos,perioxi,stop_code,stop_url
65,3203.0,ΣΧΙΣΤΟ,SXISTO,,ΧΑΪΔΑΡΙΟΥ,Δ.  ΧΑΪΔΑΡΙΟΥ,999,http://telematics.oasa.gr/#stationInfo_999
10001,4910.0,ΣΤΡΟΦΗ,STROFH,ΕΛ.ΒΕΝΙΖΕΛΟΥ,ΧΑΪΔΑΡΙΟΥ,Δ.  ΧΑΪΔΑΡΙΟΥ,10001,http://telematics.oasa.gr/#stationInfo_10001
10002,4911.0,ΚΟΛΩΝΕΣ,KOLONES,ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ,ΧΑΪΔΑΡΙΟΥ,Δ.  ΧΑΪΔΑΡΙΟΥ,10002,http://telematics.oasa.gr/#stationInfo_10002
10003,3560.0,ΑΓ. ΒΑΡΒΑΡΑ,AG. BARBARA,ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,10003,http://telematics.oasa.gr/#stationInfo_10003
10004,,ΔΗΜΑΡΧΕΙΟ,DHMARXEIO,ΗΠΕΙΡΟΥ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,10004,http://telematics.oasa.gr/#stationInfo_10004
10005,4915.0,ΚΡΗΤΗΣ,KRHTHS,ΠΑΛΑΙΩΝ ΠΟΛΕΜΙΣΤΩΝ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,10005,http://telematics.oasa.gr/#stationInfo_10005
10006,4916.0,ΚΟΥΝΤΟΥΡΙΩΤΟΥ,KOYNTOYRIOTOY,ΠΑΛΑΙΩΝ ΠΟΛΕΜΙΣΤΩΝ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,10006,http://telematics.oasa.gr/#stationInfo_10006
10007,3865.0,ΔΗΜΑΡΧΕΙΟ - ΣΤ. ΑΓ. ΒΑΡΒΑΡΑ,DHMARXEIO - ST.  AG. BARBARA,ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,10007,http://telematics.oasa.gr/#stationInfo_10007
10008,3864.0,1η ΑΓ. ΜΑΡΙΝΑΣ,1st AG. MARINAS,ΑΓ. ΜΑΡΙΝΑΣ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,10008,http://telematics.oasa.gr/#stationInfo_10008
10011,3575.0,ΘΕΜΙΣΤΟΚΛΕΟΥΣ,THEMISTOKLEOYS,ΠΑΛ.ΠΑΤΡΩΝ ΓΕΡMΑΝΟΥ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,10011,http://telematics.oasa.gr/#stationInfo_10011
