s_name;line_nm;latitude;longitude
ΠΕΙΡΑΙΑΣ;Μ1;37.948168062086;23.6432813457531
ΦΑΛΗΡΟ;Μ1;37.9451012018928;23.665203904118
ΜΟΣΧΑΤΟ;Μ1;37.9442891963434;23.6782589256497
ΚΑΛΛΙΘΕΑ;Μ1;37.9605563053581;23.6973642919183
ΤΑΥΡΟΣ;Μ1;37.9626096411166;23.7034764360699
ΠΕΤΡΑΛΩΝΑ;Μ1;37.9687381506339;23.7095364262932
ΘΗΣΕΙΟ;Μ1;37.9768783853268;23.7207597503127
ΜΟΝΑΣΤΗΡΑΚΙ;Μ1;37.9762608038084;23.7256091949581
ΟΜΟΝΟΙΑ;Μ1;37.9843041667224;23.7286805623466
ΒΙΚΤΩΡΙΑ;Μ1;37.9931846170687;23.730399932932
ΑΤΤΙΚΗ;Μ1;37.9995317685191;23.7221946683786
ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ;Μ1;38.0071049180271;23.7279792289412
ΚΑΤΩ ΠΑΤΗΣΙΑ;Μ1;38.0117790134657;23.7290177139853
ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ;Μ1;38.0202823752364;23.7323305774673
ΑΝΩ ΠΑΤΗΣΙΑ;Μ1;38.0238037139177;23.7360143811068
ΠΕΡΙΣΣΟΣ;Μ1;38.0328631517431;23.744798751341
ΠΕΥΚΑΚΙΑ;Μ1;38.037288788659;23.7505123295745
ΝΕΑ ΙΩΝΙΑ;Μ1;38.0417048882967;23.755271505344
ΗΡΑΚΛΕΙΟ;Μ1;38.0463912200703;23.7664402439981
ΕΙΡΗΝΗ;Μ1;38.0439060037705;23.7828448996473
ΝΕΡΑΤΖΙΩΤΙΣΣΑ;Μ1;38.0452477192494;23.7935613040233
ΜΑΡΟΥΣΙ;Μ1;38.0564269237082;23.8054520806513
ΚΑΤ;Μ1;38.0658941725385;23.804039819032
ΚΗΦΙΣΙΑ;Μ1;38.073833657428;23.8088680080032
ΑΝΘΟΥΠΟΛΗ;Μ2;38.0172505677114;23.6917409385249
ΠΕΡΙΣΤΕΡΙ;Μ2;38.0132207031401;23.6959737728707
ΑΓΙΟΣ ΑΝΤΩΝΙΟΣ;Μ2;38.0067244369902;23.6994703104206
ΣΕΠΟΛΙΑ;Μ2;38.0027140698109;23.7138492398721
ΑΤΤΙΚΗ;Μ2;37.9994081728101;23.7221424522493
ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ;Μ2;37.9921583583264;23.721058978667
ΜΕΤΑΞΟΥΡΓΕΙΟ;Μ2;37.9864043081168;23.7214773782943
ΟΜΟΝΟΙΑ;Μ2;37.9842120621158;23.728687087696
ΠΑΝΕΠΙΣΤΗΜΙΟ;Μ2;37.9804489368613;23.7330537636697
ΣΥΝΤΑΓΜΑ;Μ2;37.9747264397002;23.7356552325612
ΑΚΡΟΠΟΛΗ;Μ2;37.9688145982804;23.7298080485645
ΣΥΓΓΡΟΥ ΦΙΞ;Μ2;37.9643232542885;23.7265679562074
ΝΕΟΣ ΚΟΣΜΟΣ;Μ2;37.9575899127263;23.7284132950782
ΑΓΙΟΣ ΙΩΑΝΝΗΣ;Μ2;37.956786135887;23.734678954496
ΔΑΦΝΗ;Μ2;37.9493886643637;23.7374915289274
ΑΓΙΟΣ ΔΗΜΗΤΡΙΟΣ;Μ2;37.9405387078034;23.7406672150739
ΗΛΙΟΥΠΟΛΗ;Μ2;37.9299124109112;23.7445391760724
ΑΛΙΜΟΣ;Μ2;37.9182843275296;23.7445307897861
ΑΡΓΥΡΟΥΠΟΛΗ;Μ2;37.9031917567301;23.7459684117714
ΕΛΛΗΝΙΚΟ;Μ2;37.8926681935495;23.7473404518503
ΝΙΚΑΙΑ;Μ3;37.9659170182508;23.6473410654459
ΚΟΡΥΔΑΛΛΟΣ;Μ3;37.9771789963178;23.650473883992
