stop_id;stop_descr;stop_street;stop_url;stop_code
010005;ΚΡΗΤΗΣ;ΠΑΛΑΙΩΝ ΠΟΛΕΜΙΣΤΩΝ;http://telematics.oasa.gr/#stationInfo_10005;10005
010054;ΣΤΕΦ. ΣΑΡΑΦΗ;ΣΤΕΦ.ΣΑΡΑΦΗ;http://telematics.oasa.gr/#stationInfo_10054;10054
010056;ΓΕΦΥΡΑ;ΣΤΕΦ.ΣΑΡΑΦΗ;http://telematics.oasa.gr/#stationInfo_10056;10056
010058;ΑΣΤΥΝΟΜΙΑ;ΣΤΕΦ.ΣΑΡΑΦΗ;http://telematics.oasa.gr/#stationInfo_10058;10058
010062;ΛΥΚΟΥΡΓΟΥ;ΛΥΚΟΥΡΓΟΥ;http://telematics.oasa.gr/#stationInfo_10062;10062
000120;ΑΓ. ΔΗΜΗΤΡΙΟΣ (ΣΤ.  ΔΑΦΝΗ);0;http://telematics.oasa.gr/#stationInfo_10324;10324
061198;ΝΟΣΟΚΟΜΕΙΟ ΕΛΠΙΔΑ;ΔΗΜΗΤΣΑΝΑΣ;http://telematics.oasa.gr/#stationInfo_10524;10524
400514;ΖΩΟΔΟΧΟΣ ΠΗΓΗ;0;http://telematics.oasa.gr/#stationInfo_10779;10779
260191;ΠΑΙΔΙΚΗ ΧΑΡΑ;ΧΡΥΣΟΣΤΟΜΟΥ ΣΜΥΡΝΗΣ;http://telematics.oasa.gr/#stationInfo_11034;11034
260192;ΛΥΚΟΥΡΓΟΥ;ΧΡΥΣΟΣΤΟΜΟΥ ΣΜΥΡΝΗΣ;http://telematics.oasa.gr/#stationInfo_11035;11035
070161;ΤΕΙ ΑΘΗΝΩΝ;ΕΔΕΣΣΗΣ;http://telematics.oasa.gr/#stationInfo_11124;11124
030027;5η ΑΓ.ΠΑΡΑΣΚΕΥΗΣ;ΠΕΛΟΠΟΝΝΗΣΟΥ;http://telematics.oasa.gr/#stationInfo_30027;30027
030039;9η ΑΓ.ΠΑΡΑΣΚΕΥΗΣ;ΑΝΘ\ΓΟΥ ΤΑΣΣΟΠΟΥΛΟΥ;http://telematics.oasa.gr/#stationInfo_30039;30039
040019;ΣΧΟΛΕΙΟ;ΛΕΩΦ.ΑΓ.ΔΗΜΗΤΡΙΟΥ;http://telematics.oasa.gr/#stationInfo_40019;40019
040040;ΑΝΤΙΟΠΗΣ;ΛΕΩΦ.ΑΓ.ΔΗΜΗΤΡΙΟΥ;http://telematics.oasa.gr/#stationInfo_40040;40040
040054;ΜΑΚΡΥΓΙΑΝΝΗ;ΑΛ.ΑΣΗΜΑΚΟΠΟΥΛΟΥ;http://telematics.oasa.gr/#stationInfo_40054;40054
040055;ΠΑΠΑΔΗΜΑ;ΑΛ.ΑΣΗΜΑΚΟΠΟΥΛΟΥ;http://telematics.oasa.gr/#stationInfo_40055;40055
040064;3η ΠΑΠΑΓΟΥ;ΣΤΡ\ΧΟΥ ΑΛΕΞ.ΠΑΠΑΓΟΥ;http://telematics.oasa.gr/#stationInfo_40064;40064
040067;ΝΕΚΡ. ΚΑΛΛΙΘΕΑΣ;ΑΓ.ΘΕΟΔΩΡΩΝ;http://telematics.oasa.gr/#stationInfo_40067;40067
040078;3η ΑΣΥΡΜΑΤΟΥ;ΑΣΥΡΜΑΤΟΥ;http://telematics.oasa.gr/#stationInfo_40078;40078
040082;6η ΑΓ. ΒΑΡΒΑΡΑΣ;ΑΓ.ΒΑΡΒΑΡΑΣ;http://telematics.oasa.gr/#stationInfo_40082;40082
040095;4η ΠΑΠΑΓΟΥ;ΣΤΡ\ΧΟΥ ΑΛΕΞ.ΠΑΠΑΓΟΥ;http://telematics.oasa.gr/#stationInfo_40095;40095
041106;ΛΥΣΑΝΔΡΟΥ;ΛΕΩΦ.ΑΓ.ΔΗΜΗΤΡΙΟΥ;http://telematics.oasa.gr/#stationInfo_41106;41106
050014;ΣΧΟΛΕΙΟ;ΣΥΡΟΥ;http://telematics.oasa.gr/#stationInfo_50014;50014
050020;9η;ΓΕΩΡΓ.ΠΑΠΑΝΔΡΕΟΥ;http://telematics.oasa.gr/#stationInfo_50020;50020
050073;ΜΥΚΟΝΙΑΤΙΚΑ;ΝΙΚ.ΠΛΑΣΤΗΡΑ;http://telematics.oasa.gr/#stationInfo_50073;50073
060017;ΑΓ. ΕΛΕΥΘΕΡΙΟΣ;ΜΟΜΦΕΡΑΤΟΥ;http://telematics.oasa.gr/#stationInfo_60017;60017
060018;ΜΟΜΦΕΡΑΤΟΥ;ΜΟΜΦΕΡΑΤΟΥ;http://telematics.oasa.gr/#stationInfo_60018;60018
060033;ΠΟΛΥΤΕΧΝΕΙΟ;ΜΠΟΥΜΠΟΥΛΙΝΑΣ;http://telematics.oasa.gr/#stationInfo_60033;60033
060034;ΑΓ. ΒΑΣΙΛΕΙΟΣ;ΜΠΟΥΜΠΟΥΛΙΝΑΣ;http://telematics.oasa.gr/#stationInfo_60034;60034
060038;1η ΒΑΛΤΙΝΩΝ;ΒΑΛΤΙΝΩΝ;http://telematics.oasa.gr/#stationInfo_60038;60038
060039;2η ΒΑΛΤΙΝΩΝ;ΒΑΛΤΙΝΩΝ;http://telematics.oasa.gr/#stationInfo_60039;60039
060040;ΓΕΝΝΑΔΙΟΥ;ΓΕΝΝΑΔΙΟΥ;http://telematics.oasa.gr/#stationInfo_60040;60040
060041;ΜΠΟΥΚΟΥΒΑΛΑ;ΜΟΜΦΕΡΑΤΟΥ;http://telematics.oasa.gr/#stationInfo_60041;60041
060046;ΠΑΛΑΙΟ ΤΕΡΜΑ;ΠΑΝΟΡΜΟΥ;http://telematics.oasa.gr/#stationInfo_60046;60046
060049;ΠΑΛΑΙΟ ΤΕΡΜΑ;ΠΑΝΟΡΜΟΥ;http://telematics.oasa.gr/#stationInfo_60049;60049
060050;ΑΓ. ΔΗΜΗΤΡΙΟΣ;ΠΑΝΟΡΜΟΥ;http://telematics.oasa.gr/#stationInfo_60050;60050
060055;ΑΓ. ΕΛΕΥΘΕΡΙΟΣ;ΡΑΓΚΑΒΗ;http://telematics.oasa.gr/#stationInfo_60055;60055
060056;ΒΑΛΤΙΝΩΝ;ΒΑΛΤΙΝΩΝ;http://telematics.oasa.gr/#stationInfo_60056;60056
060088;ΝΑΥΤΙΚΟ;ΔΕΙΝΟΚΡΑΤΟΥΣ;http://telematics.oasa.gr/#stationInfo_60088;60088
060100;11η ΛΥΚΑΒΗΤΤΟΣ;ΑΡΜΑΤΩΛΩΝ ΚΑΙ ΚΛΕΦΤΩΝ;http://telematics.oasa.gr/#stationInfo_60100;60100
060103;ΔΟΡΥΛΑΙΟΥ;ΓΕΛΩΝΟΣ;http://telematics.oasa.gr/#stationInfo_60103;60103
060104;ΝΑΥΤΙΚΟ;ΔΕΙΝΟΚΡΑΤΟΥΣ;http://telematics.oasa.gr/#stationInfo_60104;60104
060139;ΖΑΧΑΡΟΠΛΑΣΤΕΙΟ;ΚΟΥΡΤΙΔΟΥ;http://telematics.oasa.gr/#stationInfo_60139;60139
060157;ΣΙΔΕΡΑ;ΣΕΠΟΛΙΩΝ;http://telematics.oasa.gr/#stationInfo_60157;60157
060165;ΑΓ. ΜΕΛΕΤΙΟΣ;ΒΟΡ.ΗΠΕΙΡΟΥ;http://telematics.oasa.gr/#stationInfo_60165;60165
060176;ΙΚΑ ΠΑΤΗΣΙΩΝ;ΔΡΟΣΟΠΟΥΛΟΥ;http://telematics.oasa.gr/#stationInfo_60176;60176
060186;ΠΝΕΥΜΑΤΙΚΟ ΚΕΝΤΡΟ;ΚΡΕΟΝΤΟΣ;http://telematics.oasa.gr/#stationInfo_60186;60186
060220;ΑΛΑΜΑΝΑΣ;ΠΑΛΑΜΗΔΙΟΥ;http://telematics.oasa.gr/#stationInfo_60220;60220
060329;ΚΟΖΑΝΗΣ;ΚΟΖΑΝΗΣ;http://telematics.oasa.gr/#stationInfo_60329;60329
060339;ΑΓ. ΜΑΡΚΕΛΑ;ΣΠΥΡΟΥ ΠΑΤΣΗ;http://telematics.oasa.gr/#stationInfo_60339;60339
060356;ΑΜΑΞΟΣΤΑΣΙΟ ΒΟΤΑΝΙΚΟΥ;ΑΓ.ΠΟΛΥΚΑΡΠΟΥ;http://telematics.oasa.gr/#stationInfo_60356;60356
060358;ΠΛΑΤΑΙΩΝ;ΜΕΓ.ΑΛΕΞΑΝΔΡΟΥ;http://telematics.oasa.gr/#stationInfo_60358;60358
060359;ΛΕΩΝΙΔΟΥ;ΘΕΡΜΟΠΥΛΩΝ;http://telematics.oasa.gr/#stationInfo_60359;60359
060363;ΜΥΛΛΕΡΟΥ;ΜΕΓ.ΑΛΕΞΑΝΔΡΟΥ;http://telematics.oasa.gr/#stationInfo_60363;60363
060372;ΙΔΡ.ΜΕΛ.ΜΕΡΚΟΥΡΗ;ΠΕΡΣΕΦΟΝΗΣ;http://telematics.oasa.gr/#stationInfo_60372;60372
060378;ΜΥΡΜΙΔΟΝΩΝ;ΤΡΙΩΝ ΙΕΡΑΡΧΩΝ;http://telematics.oasa.gr/#stationInfo_60378;60378
