stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
100001,100001,14η ΝΤΑΜΑΡΙΑ,38.0659257,23.7130708,http://telematics.oasa.gr/#stationInfo_100001
100002,100002,ΓΕΦΥΡΑ  ΑΤΤΙΚΗΣ ΟΔΟΥ,38.070813,23.7103954,http://telematics.oasa.gr/#stationInfo_100002
100003,100003,16η ΦΥΛΗΣ,38.0722608,23.7091119,http://telematics.oasa.gr/#stationInfo_100003
100004,100004,ΚΟΜΝΗΝΩΝ,38.0846626,23.6910751,http://telematics.oasa.gr/#stationInfo_100004
100006,100006,ΡΗΓΑ ΦΕΡΑΙΟΥ,38.0861405,23.6983845,http://telematics.oasa.gr/#stationInfo_100006
100008,100008,ΣΧΟΛΕΙΟ,38.0827949,23.7061308,http://telematics.oasa.gr/#stationInfo_100008
10001,10001,ΣΤΡΟΦΗ,37.9986083,23.6649846,http://telematics.oasa.gr/#stationInfo_10001
100012,100012,2η ΠΙΝΔΟΥ,38.0873527,23.7085006,http://telematics.oasa.gr/#stationInfo_100012
100013,100013,3η ΠΙΝΔΟΥ,38.085158,23.7071079,http://telematics.oasa.gr/#stationInfo_100013
100014,100014,ΣΧΟΛΕΙΟ,38.0837645,23.7060746,http://telematics.oasa.gr/#stationInfo_100014
100016,100016,ΤΣΙΓΚΟΥ,38.0832939,23.7021201,http://telematics.oasa.gr/#stationInfo_100016
100017,100017,ΟΛΥΜΠΙΟΥ,38.0856734,23.701433,http://telematics.oasa.gr/#stationInfo_100017
100018,100018,ΦΟΥΡΝΟΣ,38.0876746,23.7009734,http://telematics.oasa.gr/#stationInfo_100018
100019,100019,25ης ΜΑΡΤΙΟΥ,38.0899538,23.7003146,http://telematics.oasa.gr/#stationInfo_100019
10002,10002,ΚΟΛΩΝΕΣ,37.9967194,23.6631823,http://telematics.oasa.gr/#stationInfo_10002
100025,100025,ΚΑΤΕΡΙΝΗΣ,38.0868571,23.7073331,http://telematics.oasa.gr/#stationInfo_100025
100026,100026,ΚΑΣΤΟΡΙΑ,38.0875814,23.7050609,http://telematics.oasa.gr/#stationInfo_100026
100027,100027,ΙΟΝΙΟΥ ΠΕΛΑΓΟΥΣ,38.0891095,23.6998889,http://telematics.oasa.gr/#stationInfo_100027
100029,100029,2η ΛΙΜΝΗΣ,38.0797781,23.7130395,http://telematics.oasa.gr/#stationInfo_100029
10003,10003,ΑΓ. ΒΑΡΒΑΡΑ,37.9946947,23.661153,http://telematics.oasa.gr/#stationInfo_10003
100030,100030,3η ΛΙΜΝΗΣ,38.0802389,23.7171995,http://telematics.oasa.gr/#stationInfo_100030
100031,100031,2η ΛΙΜΝΗΣ,38.0800299,23.7127877,http://telematics.oasa.gr/#stationInfo_100031
100032,100032,ΛΕΥΚΑΔΟΣ,38.0881967,23.7024356,http://telematics.oasa.gr/#stationInfo_100032
100033,100033,1η ΓΕΝΝΗΜΑΤΑ,38.0865681,23.6802478,http://telematics.oasa.gr/#stationInfo_100033
100034,100034,17η ΦΥΛΗΣ,38.0747274,23.7060711,http://telematics.oasa.gr/#stationInfo_100034
100035,100035,18η ΦΥΛΗΣ,38.0767146,23.7032126,http://telematics.oasa.gr/#stationInfo_100035
100036,100036,19η ΦΥΛΗΣ,38.0779267,23.7012829,http://telematics.oasa.gr/#stationInfo_100036
