Line_descr,Line_encoding,Direction,Stop_id,Stop_encoding,Stop_order,Stop_descr,Stop_lat,Stop_lon
021-ΠΛΑΤΕΙΑΚΑΝΙΓΓΟΣ-ΓΚΥΖH(ΚΥΚΛΙΚΗ),0,1,18,0,1,ΠΛ. ΚΑΝΙΓΓΟΣ,37.98566,23.73113
021-ΠΛΑΤΕΙΑΚΑΝΙΓΓΟΣ-ΓΚΥΖH(ΚΥΚΛΙΚΗ),0,1,60010,1,2,ΝΑΥΑΡΙΝΟΥ,37.9837048,23.7349122
021-ΠΛΑΤΕΙΑΚΑΝΙΓΓΟΣ-ΓΚΥΖH(ΚΥΚΛΙΚΗ),0,1,60011,2,3,ΑΡΑΧΩΒΗΣ,37.9849398,23.7374186
021-ΠΛΑΤΕΙΑΚΑΝΙΓΓΟΣ-ΓΚΥΖH(ΚΥΚΛΙΚΗ),0,1,60012,3,4,ΚΑΛΛΙΔΡΟΜΙΟΥ,37.985911,23.7392359
021-ΠΛΑΤΕΙΑΚΑΝΙΓΓΟΣ-ΓΚΥΖH(ΚΥΚΛΙΚΗ),0,1,60013,4,5,ΤΣΙΜΙΣΚΗ,37.9869527,23.7411863
021-ΠΛΑΤΕΙΑΚΑΝΙΓΓΟΣ-ΓΚΥΖH(ΚΥΚΛΙΚΗ),0,1,60014,5,6,ΛΑΣΚΑΡΕΩΣ,37.9884026,23.7439909
021-ΠΛΑΤΕΙΑΚΑΝΙΓΓΟΣ-ΓΚΥΖH(ΚΥΚΛΙΚΗ),0,1,60017,6,7,ΑΓ. ΕΛΕΥΘΕΡΙΟΣ,37.9909293,23.7465462
021-ΠΛΑΤΕΙΑΚΑΝΙΓΓΟΣ-ΓΚΥΖH(ΚΥΚΛΙΚΗ),0,1,60018,7,8,ΜΟΜΦΕΡΑΤΟΥ,37.9906755,23.7479147
021-ΠΛΑΤΕΙΑΚΑΝΙΓΓΟΣ-ΓΚΥΖH(ΚΥΚΛΙΚΗ),0,1,60019,8,9,ΣΚΑΛΑΚΙΑ,37.9924673,23.7489433
021-ΠΛΑΤΕΙΑΚΑΝΙΓΓΟΣ-ΓΚΥΖH(ΚΥΚΛΙΚΗ),0,1,60020,9,10,ΠΛ. ΓΚΥΖΗ,37.9933834,23.749251
021-ΠΛΑΤΕΙΑΚΑΝΙΓΓΟΣ-ΓΚΥΖH(ΚΥΚΛΙΚΗ),0,1,60021,10,11,ΣΚΑΛΑΚΙΑ,37.992021,23.7485723
021-ΠΛΑΤΕΙΑΚΑΝΙΓΓΟΣ-ΓΚΥΖH(ΚΥΚΛΙΚΗ),0,1,60022,11,12,ΜΟΜΦΕΡΑΤΟΥ,37.9909207,23.7482344
021-ΠΛΑΤΕΙΑΚΑΝΙΓΓΟΣ-ΓΚΥΖH(ΚΥΚΛΙΚΗ),0,1,60023,12,13,ΠΑΡΑΣΧΟΥ,37.9899376,23.7479189
021-ΠΛΑΤΕΙΑΚΑΝΙΓΓΟΣ-ΓΚΥΖH(ΚΥΚΛΙΚΗ),0,1,60024,13,14,ΙΠΠΟΚΡΑΤΟΥΣ (ΑΦΕΤΗΡΙΑ),37.9884301,23.7468308
