veh_no,vehtyp_code,vehtyp_capacity,vehtyp_full_limit
1,19,10,2
2,19,10,2
200000008,19,10,2
400829,19,10,2
Χ0068,19,10,2
1111,20,,
12111,20,,
21111,20,,
31111,20,,
41111,20,,
51111,20,,
61111,20,,
71111,20,,
81111,20,,
9111,20,,
6010,16,95,90
6012,16,95,90
6015,16,95,90
6019,16,95,90
6030,16,95,90
6035,16,95,90
6036,16,95,90
6039,16,95,90
6048,16,95,90
6049,16,95,90
6050,16,95,90
6051,16,95,90
6056,16,95,90
6057,16,95,90
6058,16,95,90
6060,16,95,90
6068,16,95,90
6069,16,95,90
6071,16,95,90
6073,16,95,90
6075,16,95,90
6078,16,95,90
6079,16,95,90
6081,16,95,90
6083,16,95,90
6084,16,95,90
6088,16,95,90
6089,16,95,90
6090,16,95,90
6092,16,95,90
6093,16,95,90
6094,16,95,90
6095,16,95,90
6097,16,95,90
6098,16,95,90
6099,16,95,90
6101,16,95,90
6102,16,95,90
6103,16,95,90
6109,16,95,90
6110,16,95,90
6111,16,95,90
6055,31,,
6104,31,,
6107,31,,
7004,31,,
7039,31,,
7046,31,,
7069,31,,
7087,31,,
7090,31,,
7096,31,,
7103,31,,
10113,31,,
10281,31,,
10335,31,,
10379,31,,
10654,31,,
10801,31,81,77
10807,31,,
10947,31,81,77
10952,31,,
30237,31,,
30248,31,,
30266,31,,
30271,31,,
30274,31,,
30286,31,,
30288,31,,
30298,31,,
30602,31,,
30643,31,,
30647,31,,
30650,31,,
30663,31,,
30666,31,,
30676,31,,
30678,31,,
30705,31,,
30711,31,,
30712,31,,
30715,31,,
30725,31,,
30726,31,,
30738,31,,
30744,31,,
30766,31,,
30773,31,,
30781,31,,
30784,31,,
30787,31,,
30790,31,,
30791,31,,
30792,31,,
30796,31,,
30798,31,,
30806,31,,
30811,31,,
30816,31,,
30817,31,,
30819,31,,
30826,31,,
30827,31,,
30828,31,,
30832,31,,
30850,31,,
30854,31,,
30856,31,,
30857,31,,
30861,31,,
30865,31,,
30875,31,,
30883,31,,
30887,31,,
30889,31,,
30935,31,,
30945,31,,
30946,31,,
30967,31,,
30972,31,,
40121,31,,
40122,31,,
40127,31,,
40129,31,,
40134,31,,
40138,31,,
40139,31,,
40143,31,,
40158,31,,
40161,31,,
40169,31,,
40170,31,,
40172,31,,
40174,31,,
40178,31,,
40180,31,,
40182,31,,
40184,31,,
40186,31,,
40191,31,,
40192,31,,
40194,31,,
40197,31,,
40198,31,,
40199,31,,
40205,31,,
40207,31,,
40208,31,,
40209,31,,
40211,31,,
40212,31,,
40213,31,,
40214,31,,
40219,31,,
40222,31,,
40224,31,,
40231,31,,
40232,31,,
40234,31,,
40237,31,,
40415,31,,
40423,31,,
40430,31,,
40444,31,,
40452,31,,
40468,31,,
40470,31,,
40479,31,,
40576,31,,
40825,31,,
40833,31,,
40866,31,,
40869,31,,
40870,31,,
40877,31,,
40908,31,,
50178,31,,
50179,31,,
50186,31,,
50187,31,,
50211,31,,
50219,31,,
50222,31,,
50225,31,,
50227,31,,
50232,31,,
50235,31,,
50237,31,,
50239,31,,
50240,31,,
50241,31,,
50242,31,81,77
50243,31,,
50246,31,,
50281,31,,
50283,31,,
50284,31,,
50285,31,,
50288,31,,
50289,31,,
50291,31,,
50295,31,,
50297,31,,
50303,31,,
50306,31,,
50308,31,,
50313,31,,
50315,31,81,77
50320,31,,
50321,31,,
50323,31,,
50324,31,,
50326,31,,
50328,31,,
50332,31,,
